店家,評價
深夜裡的法國手工甜點,4
Pennylane Studio 移動甜點工作室,4.6
Bonnie Sugar 森林店,3.8
1789 Café Pâtisserie 法式甜點 仁愛店,4.3
WUnique Pâtisserie 吳一無二法式甜點,4.3
傳遞幸福台北車站專櫃-玫瑰檸檬塔烤布蕾奶酪,4.9
Miss Chen 手作 • 甜點 • 空間,5
Jar Pâtisserie瓶子甜點,4
NKSDchoco 七見櫻堂甜點專賣店,4.2
Gelovery Gift 蒟若妮頂級法式甜點店 （大安店）,4.8
陳男製菓工作室 CN Bakery（外帶甜點、蛋糕、肉桂捲、生吐司菠蘿麵包）蛋糕品項每天更新．售完止｜中正紀念堂．中正區．植物園,4.9
柳橙王子Prince of Orange-人氣推薦台北手作外帶甜點蛋糕外燴 新年禮盒 忠孝新生甜點 華山文創甜點 網路人氣肉桂捲推薦,4.8
植物園烘焙甜點店 Albuca Dessert,4.9
Quelques Pâtisseries,4.5
Hamster Dessert 倉鼠甜點工作室,4.5
JellyJelly 慢工烘焙,4.5
Doly朵莉-甜點蛋糕 天然健康 輕食早午餐 法式下午茶,4.5
法國的秘密甜點 大安店,4.2
綿角·甜點製作所,4.8
甘杯甜點料理室,4.3
